town,candidate_number,votes,region_code,candidate,region,link,town_code,votes_percentage
Budapešť,6,14,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=348&xokrsek=18,1000018,12.50
Budapešť,9,74,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=348&xokrsek=18,1000018,43.75
Dublin,6,14,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=372&xokrsek=19,1000019,8.04
Dublin,9,95,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=372&xokrsek=19,1000019,58.62
Řím,6,14,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=380&xokrsek=20,1000020,6.38
Řím,9,89,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=380&xokrsek=20,1000020,59.57
Riga,6,9,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=428&xokrsek=21,1000021,11.11
Riga,9,10,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=428&xokrsek=21,1000021,33.33
Vilnius,6,4,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=440&xokrsek=22,1000022,15.00
Vilnius,9,20,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=440&xokrsek=22,1000022,55.00
Haag,6,10,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=528&xokrsek=23,1000023,2.68
Haag,9,165,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=528&xokrsek=23,1000023,58.38
Oslo,6,7,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=578&xokrsek=24,1000024,2.46
Oslo,9,83,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=578&xokrsek=24,1000024,61.72
Varšava,6,16,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=616&xokrsek=25,1000025,12.30
Varšava,9,60,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=616&xokrsek=25,1000025,41.53
Lisabon,6,0,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=620&xokrsek=26,1000026,3.70
Lisabon,9,34,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=620&xokrsek=26,1000026,62.96
Bukurešť,6,3,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=642&xokrsek=27,1000027,8.69
Bukurešť,9,29,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=642&xokrsek=27,1000027,56.52
Moskva,6,37,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=643&xokrsek=28,1000028,15.62
Moskva,9,82,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=643&xokrsek=28,1000028,54.16
Sankt Peterburg,6,17,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=643&xokrsek=29,1000029,65.00
Sankt Peterburg,9,12,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=643&xokrsek=29,1000029,20.00
Jekatěrinburg,6,4,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=643&xokrsek=30,1000030,25.00
Jekatěrinburg,9,2,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=643&xokrsek=30,1000030,0.00
Bratislava,6,104,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=703&xokrsek=31,1000031,17.20
Bratislava,9,398,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=703&xokrsek=31,1000031,48.40
Lublaň,6,6,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=705&xokrsek=32,1000032,9.09
Lublaň,9,47,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=705&xokrsek=32,1000032,66.66
Madrid,6,11,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=724&xokrsek=33,1000033,6.77
Madrid,9,70,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=724&xokrsek=33,1000033,59.32
Stockholm,6,16,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=752&xokrsek=34,1000034,7.05
Stockholm,9,87,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=752&xokrsek=34,1000034,55.29
Bern,6,17,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=756&xokrsek=35,1000035,1.14
Bern,9,341,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=756&xokrsek=35,1000035,70.68
Kyjev,6,20,X,Zeman Miloš Ing.,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=804&xokrsek=36,1000036,35.29
Kyjev,9,21,X,Schwarzenberg Karel,Zahraničí,pe311?xjazyk=CZ&xobec=999997&xsvetadil=EV&xzeme=804&xokrsek=36,1000036,20.58
