town,candidate_number,votes,region_code,candidate,region,link,town_code,votes_percentage
Suchodol,9,93,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541371,541371,17.59
Svaté Pole,6,84,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541389,541389,17.43
Svaté Pole,9,127,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541389,541389,28.89
Svatý Jan,6,154,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541397,541397,20.67
Svatý Jan,9,143,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541397,541397,18.82
Broumov,6,35,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541401,541401,27.11
Broumov,9,21,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541401,541401,11.86
Štětkovice,6,77,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541419,541419,23.63
Štětkovice,9,71,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541419,541419,18.18
Tochovice,6,185,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541427,541427,22.98
Tochovice,9,131,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541427,541427,17.52
Únehle,6,34,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541435,541435,17.46
Únehle,9,18,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541435,541435,15.87
Obora,6,31,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541443,541443,23.88
Obora,9,33,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541443,541443,25.37
Třebsko,6,41,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541451,541451,17.82
Třebsko,9,65,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541451,541451,13.95
Zhoř,6,28,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541460,541460,20.68
Zhoř,9,4,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541460,541460,10.34
Zvole,6,275,CZ0715,Zeman Miloš Ing.,Šumperk,pe311?xjazyk=CZ&xnumnuts=7105&xobec=541478,541478,31.41
Zvole,9,146,CZ0715,Schwarzenberg Karel,Šumperk,pe311?xjazyk=CZ&xnumnuts=7105&xobec=541478,541478,15.26
Prostiboř,6,40,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541486,541486,30.00
Prostiboř,9,13,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541486,541486,16.66
Kokašice,6,82,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541494,541494,29.46
Kokašice,9,22,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541494,541494,15.17
Věšín,6,255,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541508,541508,28.87
Věšín,9,114,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541508,541508,13.91
Višňová,6,174,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541516,541516,18.99
Višňová,9,143,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541516,541516,18.15
Volenice,6,138,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541524,541524,26.63
Volenice,9,78,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541524,541524,11.88
Milíře,6,48,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541532,541532,17.50
Milíře,9,30,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541532,541532,5.00
Voznice,6,110,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541541,541541,19.28
Voznice,9,209,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541541,541541,37.09
Kočov,6,61,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541559,541559,33.33
Kočov,9,13,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541559,541559,11.49
Vranovice,6,99,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541567,541567,28.76
Vranovice,9,44,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541567,541567,14.38
Žulová,6,413,CZ0711,Zeman Miloš Ing.,Jeseník,pe311?xjazyk=CZ&xnumnuts=7101&xobec=541575,541575,23.85
Žulová,9,153,CZ0711,Schwarzenberg Karel,Jeseník,pe311?xjazyk=CZ&xnumnuts=7101&xobec=541575,541575,7.59
Vysoká u Příbramě,6,97,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541583,541583,17.58
Vysoká u Příbramě,9,93,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541583,541583,20.10
Vysoký Chlumec,6,207,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541591,541591,22.34
Vysoký Chlumec,9,199,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541591,541591,21.70
Brod nad Tichou,6,82,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541605,541605,25.66
Brod nad Tichou,9,25,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541605,541605,7.07
Zalužany,6,98,CZ020B,Zeman Miloš Ing.,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541613,541613,24.47
Zalužany,9,96,CZ020B,Schwarzenberg Karel,Příbram,pe311?xjazyk=CZ&xnumnuts=2111&xobec=541613,541613,24.47
Tisová,6,140,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541621,541621,31.10
Tisová,9,54,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541621,541621,9.56
Vsetín,6,7048,CZ0723,Zeman Miloš Ing.,Vsetín,pe311?xjazyk=CZ&xnumnuts=7203&xobec=541630,541630,25.85
Vsetín,9,5091,CZ0723,Schwarzenberg Karel,Vsetín,pe311?xjazyk=CZ&xnumnuts=7203&xobec=541630,541630,20.51
Branky,6,253,CZ0723,Zeman Miloš Ing.,Vsetín,pe311?xjazyk=CZ&xnumnuts=7203&xobec=541648,541648,23.87
Branky,9,144,CZ0723,Schwarzenberg Karel,Vsetín,pe311?xjazyk=CZ&xnumnuts=7203&xobec=541648,541648,16.21
Rakovník,6,4403,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541656,541656,25.13
Rakovník,9,3188,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541656,541656,21.50
Záchlumí,6,109,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541664,541664,24.22
Záchlumí,9,36,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541664,541664,3.72
Branov,6,87,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541672,541672,33.62
Branov,9,39,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541672,541672,10.61
Ošelín,6,30,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541681,541681,43.93
Ošelín,9,32,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541681,541681,21.21
Čistá,6,290,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541699,541699,27.36
Čistá,9,132,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541699,541699,15.25
Lom u Tachova,6,163,CZ0327,Zeman Miloš Ing.,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541702,541702,25.00
Lom u Tachova,9,29,CZ0327,Schwarzenberg Karel,Tachov,pe311?xjazyk=CZ&xnumnuts=3207&xobec=541702,541702,4.16
Bystřička,6,279,CZ0723,Zeman Miloš Ing.,Vsetín,pe311?xjazyk=CZ&xnumnuts=7203&xobec=541711,541711,26.94
Bystřička,9,213,CZ0723,Schwarzenberg Karel,Vsetín,pe311?xjazyk=CZ&xnumnuts=7203&xobec=541711,541711,19.54
Hořesedly,6,132,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541729,541729,23.92
Hořesedly,9,71,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541729,541729,9.56
Hořovičky,6,138,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541737,541737,39.67
Hořovičky,9,41,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541737,541737,5.43
Myslovice,6,38,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541745,541745,10.00
Myslovice,9,32,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541745,541745,20.00
Ježovy,6,52,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541753,541753,18.03
Ježovy,9,54,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541753,541753,23.77
Hřebečníky,6,90,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541761,541761,30.13
Hřebečníky,9,54,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541761,541761,18.49
Hředle,6,196,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541770,541770,28.97
Hředle,9,78,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541770,541770,6.36
Poleň,6,114,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541788,541788,34.10
Poleň,9,37,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541788,541788,11.62
Hejná,6,57,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541796,541796,29.72
Hejná,9,42,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541796,541796,11.71
Dolní Bečva,6,464,CZ0723,Zeman Miloš Ing.,Vsetín,pe311?xjazyk=CZ&xnumnuts=7203&xobec=541800,541800,21.99
Dolní Bečva,9,405,CZ0723,Schwarzenberg Karel,Vsetín,pe311?xjazyk=CZ&xnumnuts=7203&xobec=541800,541800,18.77
Chrášťany,6,191,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541818,541818,26.40
Chrášťany,9,95,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541818,541818,14.52
Kejnice,6,46,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541826,541826,25.37
Kejnice,9,17,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541826,541826,10.44
Jesenice,6,450,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541834,541834,24.21
Jesenice,9,251,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541834,541834,17.92
Běhařov,6,30,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541842,541842,18.05
Běhařov,9,50,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541842,541842,20.83
Klenová,6,45,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541851,541851,22.72
Klenová,9,13,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541851,541851,9.09
Javor,6,28,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541869,541869,26.08
Javor,9,15,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541869,541869,10.86
Kněževes,6,315,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541877,541877,31.74
Kněževes,9,121,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541877,541877,9.12
Týnec,6,105,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541885,541885,21.15
Týnec,9,57,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541885,541885,18.58
Kolešovice,6,270,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541893,541893,29.48
Kolešovice,9,104,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541893,541893,13.26
Kounov,6,160,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541907,541907,30.84
Kounov,9,49,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541907,541907,7.00
Obytce,6,49,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541915,541915,21.97
Obytce,9,32,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541915,541915,14.28
Břežany,6,65,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541923,541923,25.74
Břežany,9,22,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541923,541923,3.96
Kvášňovice,6,39,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541931,541931,33.33
Kvášňovice,9,40,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541931,541931,35.89
Kroučová,6,89,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541940,541940,28.98
Kroučová,9,45,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541940,541940,14.49
Olšany,6,93,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541958,541958,31.61
Olšany,9,50,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=541958,541958,12.90
Krupá,6,126,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541966,541966,25.00
Krupá,9,77,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541966,541966,16.66
Krušovice,6,143,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541974,541974,21.83
Krušovice,9,126,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541974,541974,20.25
Křivoklát,6,161,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541982,541982,20.35
Křivoklát,9,174,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=541982,541982,27.43
Lány,6,536,CZ0203,Zeman Miloš Ing.,Kladno,pe311?xjazyk=CZ&xnumnuts=2103&xobec=541991,541991,26.04
Lány,9,546,CZ0203,Schwarzenberg Karel,Kladno,pe311?xjazyk=CZ&xnumnuts=2103&xobec=541991,541991,28.05
Lašovice,6,52,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542008,542008,35.93
Lašovice,9,10,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542008,542008,18.75
Lišany,6,204,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542016,542016,23.79
Lišany,9,110,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542016,542016,12.18
Číhaň,6,45,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542024,542024,22.47
Číhaň,9,33,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542024,542024,16.85
Lubná,6,286,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542032,542032,26.53
Lubná,9,114,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542032,542032,14.01
Lužná,6,588,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542041,542041,25.19
Lužná,9,323,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542041,542041,15.03
Mlýnské Struhadlo,6,19,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542059,542059,20.68
Mlýnské Struhadlo,9,10,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542059,542059,20.68
Městečko,6,98,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542067,542067,23.04
Městečko,9,85,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542067,542067,21.30
Milostín,6,94,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542075,542075,38.68
Milostín,9,34,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542075,542075,13.13
Hnačov,6,31,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542083,542083,25.75
Hnačov,9,29,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542083,542083,18.18
Horská Kvilda,6,17,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542091,542091,8.62
Horská Kvilda,9,143,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542091,542091,65.51
Mšec,6,248,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542105,542105,26.44
Mšec,9,182,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542105,542105,21.39
Mšecké Žehrovice,6,183,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542113,542113,22.15
Mšecké Žehrovice,9,107,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542113,542113,20.25
Mutějovice,6,227,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542121,542121,26.38
Mutějovice,9,115,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542121,542121,14.24
Nesuchyně,6,143,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542130,542130,29.85
Nesuchyně,9,39,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542130,542130,11.44
Modrava,6,47,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542148,542148,10.20
Modrava,9,186,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542148,542148,52.04
Borovy,6,74,CZ0324,Zeman Miloš Ing.,Plzeň-jih,pe311?xjazyk=CZ&xnumnuts=3204&xobec=542156,542156,35.43
Borovy,9,45,CZ0324,Schwarzenberg Karel,Plzeň-jih,pe311?xjazyk=CZ&xnumnuts=3204&xobec=542156,542156,18.89
Nové Strašecí,6,1336,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542164,542164,21.85
Nové Strašecí,9,1218,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542164,542164,22.32
Červené Poříčí,6,67,CZ0322,Zeman Miloš Ing.,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542172,542172,22.65
Červené Poříčí,9,41,CZ0322,Schwarzenberg Karel,Klatovy,pe311?xjazyk=CZ&xnumnuts=3202&xobec=542172,542172,20.31
Nový Dům,6,49,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542181,542181,23.91
Nový Dům,9,42,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542181,542181,17.39
Olešná,6,181,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542199,542199,25.00
Olešná,9,126,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542199,542199,20.62
Oráčov,6,170,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542202,542202,21.97
Oráčov,9,239,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542202,542202,47.40
Panoší Újezd,6,96,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542211,542211,29.23
Panoší Újezd,9,51,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542211,542211,17.54
Petrovice,6,100,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542229,542229,35.17
Petrovice,9,45,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542229,542229,14.48
Pochvalov,6,91,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542237,542237,28.65
Pochvalov,9,68,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542237,542237,18.71
Příčina,6,85,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542253,542253,16.00
Příčina,9,33,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542253,542253,12.80
Pšovlky,6,96,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542270,542270,36.95
Pšovlky,9,44,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542270,542270,16.66
Pustověty,6,28,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542288,542288,17.33
Pustověty,9,39,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542288,542288,24.00
Nezdice,6,80,CZ0324,Zeman Miloš Ing.,Plzeň-jih,pe311?xjazyk=CZ&xnumnuts=3204&xobec=542296,542296,26.89
Nezdice,9,38,CZ0324,Schwarzenberg Karel,Plzeň-jih,pe311?xjazyk=CZ&xnumnuts=3204&xobec=542296,542296,14.28
Blazice,6,65,CZ0721,Zeman Miloš Ing.,Kroměříž,pe311?xjazyk=CZ&xnumnuts=7201&xobec=542318,542318,26.61
Blazice,9,48,CZ0721,Schwarzenberg Karel,Kroměříž,pe311?xjazyk=CZ&xnumnuts=7201&xobec=542318,542318,25.00
Ruda,6,188,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542326,542326,23.18
Ruda,9,137,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542326,542326,16.98
Rynholec,6,231,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542334,542334,24.30
Rynholec,9,163,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542334,542334,17.82
Honětice,6,22,CZ0721,Zeman Miloš Ing.,Kroměříž,pe311?xjazyk=CZ&xnumnuts=7201&xobec=542342,542342,25.71
Honětice,9,10,CZ0721,Schwarzenberg Karel,Kroměříž,pe311?xjazyk=CZ&xnumnuts=7201&xobec=542342,542342,11.42
Řevničov,6,416,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542351,542351,26.01
Řevničov,9,298,CZ020C,Schwarzenberg Karel,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542351,542351,17.77
Senec,6,90,CZ020C,Zeman Miloš Ing.,Rakovník,pe311?xjazyk=CZ&xnumnuts=2112&xobec=542369,542369,31.94
